"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"116","Cambodia",,"01234","Tomatoes",2015,24.6,"24.6%",,,"Post-harvest",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from Weinberger et al 2008 Reference has been generated automatically"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,12.5,"12.5",,,"Farm",,"Immaturity Insect Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5",,,"Retail",,"Rotting/Decay Over-Ripening","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5",,,"Wholesale",,"Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5",,,"Trader",,"Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia",,"01234","Tomatoes",2008,24.6,"24.6",,,"Whole supply chain",,"","588","Survey","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf",""
"116","Cambodia",,"01234","Tomatoes",2006,7,"7%","67kg/MT","Wholesale","Wholesale","Wet season  ( May to October)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,1,"1%","16kg/MT","Collection","Trader","Dry season 1 ( November to January)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,6,"6%","105.0kg","Farm","Farm","Dry season 2 ( January to April)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,8,"8%","105.0kg","Wholesale","Wholesale","Dry season 1 ( November to January)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,6,"6%","58kg/MT","Retailing","Retail","Wet season  ( May to October)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,5,"5%","58kg/MT","Retailing","Retail","Dry season 2 ( January to April)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,4,"4%","67kg/MT","Wholesale","Wholesale","Dry season 2 ( January to April)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,6,"6%","105.0kg","Farm","Farm","Dry season 1 ( November to January)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,2,"2%","16kg/MT","Collection","Trader","Dry season 2 ( January to April)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,13,"13%","105kg/MT","Farm","Farm","Wet season  ( May to October)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,2,"2%","16kg/MT","Collection","Trader","Wet season  ( May to October)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,5,"5%","105.0kg","Retailing","Retail","Dry season 1 ( November to January)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2005,24.5,"24.5","246",,"Post-harvest",,"Hot Weather During Harvest And Post Packaging","50","Survey","Genova II et al","http://www.measurepostharvestlosses.com/sites/default/files/phlveg.pdf",""
"144","Sri Lanka",,"01234","Tomatoes",2002,35.42,"35.42%",,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation","Whole supply chain",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01234","Tomatoes",2002,10.25,"10.25%",,"Collection","Trader",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01234","Tomatoes",2002,7.25,"7.25%",,,"Farm",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01234","Tomatoes",2002,4.59,"4.59%",,"Wholesale","Wholesale",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01234","Tomatoes",2002,13.33,"13.33%",,"Retailing","Retail",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"188","Costa Rica",,"01234","Tomatoes",2015,2,"1 - 3%",,"Wholesale","Wholesale",,,,"Survey","FAO (2015)",,
"188","Costa Rica",,"01234","Tomatoes",2015,10,"10%",,"Farm","Farm",,,,"Survey","FAO (2015)",,
"188","Costa Rica",,"01234","Tomatoes",2015,7.5,"6 - 9%",,"Retailing","Retail",,,,"Survey","FAO (2015)",,
"192","Cuba",,"01234","Tomatoes",2011,0.87,"0.87%",,"Processing","Processing",,,,"Survey","FAO (2015)",,
"192","Cuba",,"01234","Tomatoes",2011,7.7,"7.7%",,"Processing","Processing",,,,"Survey","FAO (2015)",,
"204","Benin",,"01234","Tomatoes",2015,28,"28%",,,"Post-harvest",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from IITA 2008 Reference has been generated automatically"
"204","Benin",,"01234","Tomatoes",2010,53,"53",,,"Farm",,,,,"Kitinoja","http://www.sciencedirect.com/science/article/pii/S0305750X14002307",
"204","Benin",,"01234","Tomatoes",2010,26.2,"21.2-31.2",,,"Wholesale",,,,,"Kitinoja","http://www.sciencedirect.com/science/article/pii/S0305750X14002307",
"204","Benin",,"01234","Tomatoes",2010,27.2,"26.4-28",,,"Retail",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2010,26,"23-29",,,"Farm",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,16.35,"9.7 - 23%",,"Sorting","Farm",,"lack of pre-sorting to remove decayed produce before packing promoted spread of fungal and bacterial diseases and insect pests during handling",,"Survey","L. Kitinoja and H.Y. AlHassan (2012)",,
"204","Benin",,"01234","Tomatoes",2009,24,"24",,"Grading, Sorting","Farm",,"Decay","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,27.5,"27.5",,"Grading, Sorting","Wholesale",,"Mechanical Damage","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,26.4,"26.4",,,"Retail",,"Physical Losses","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,27.5,"27.5",,"Grading, Sorting","Retail",,"Mechanical Damage","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,23,"23",,,"Farm",,"Physical Losses","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,29,"29",,"Grading, Sorting","Farm",,"Mechanical Damage","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,31.2,"31.2",,,"Wholesale",,"Physical Losses","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,28,"28",,"Grading, Sorting","Retail",,"Mechanical Damage","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01234","Tomatoes",2009,21.2,"21.2",,"Grading, Sorting","Wholesale",,"Decay","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"231","Ethiopia",,"01234","Tomatoes",2015,17,"17%",,,"Whole supply chain",,"","","Survey","Margareta Topel (2015), Assessment of Postharvest loss for perishable produces from Wholesalers to consumers",," Reference has been generated automatically"
"242","Fiji",,"01234","Tomatoes",2012,13.4,"13.4%",,"Consumption","Households","Day 3","","","Survey","Steven Underhill (2013), commercial tomato supply chain in fiji",," Reference has been generated automatically"
"242","Fiji",,"01234","Tomatoes",2012,6.4,"6.4%",,"Wholesale","Wholesale",,"","","Survey","Steven Underhill (2013), commercial tomato supply chain in fiji",," Reference has been generated automatically"
"242","Fiji",,"01234","Tomatoes",2012,0.13,"0.13%",,"Transportation","Transport",,"","","Survey","Steven Underhill (2013), commercial tomato supply chain in fiji",," Reference has been generated automatically"
"242","Fiji",,"01234","Tomatoes",2012,6.19,"6.19%",,"Consumption","Households","Day 1","","","Survey","Steven Underhill (2013), commercial tomato supply chain in fiji",," Reference has been generated automatically"
"242","Fiji",,"01234","Tomatoes",2012,8.8,"8.8%",,,"Farm",,"","","Survey","Steven Underhill (2013), commercial tomato supply chain in fiji",," Reference has been generated automatically"
"242","Fiji",,"01234","Tomatoes",2012,8.26,"8.26%",,"Consumption","Households","Day 2","","","Survey","Steven Underhill (2013), commercial tomato supply chain in fiji",," Reference has been generated automatically"
"275","Palestine","West Bank and Gaza Strip","01234","Tomatoes",2018,4,"4%",,"Retailing","Retail",,"","","Literature Review","Reducing food loss and waste in the Near East and North Africa   (2023), Reducing food loss and waste in the Near East and North Africa",," Reference has been generated automatically"
"275","Palestine","West Bank and Gaza Strip","01234","Tomatoes",2018,8,"8.0%",,"Wholesale","Wholesale",,"","","Literature Review","Reducing food loss and waste in the Near East and North Africa   (2023), Reducing food loss and waste in the Near East and North Africa",," Reference has been generated automatically"
"275","Palestine","West Bank and Gaza Strip","01234","Tomatoes",2018,7,"7%",,"Harvesting","Harvest",,"","","Literature Review","Reducing food loss and waste in the Near East and North Africa   (2023), Reducing food loss and waste in the Near East and North Africa",," Reference has been generated automatically"
"288","Ghana",,"01234","Tomatoes",2015,21.5,"21.5%",,"Wholesale","Wholesale",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from WFLO 2010 Reference has been generated automatically"
"288","Ghana",,"01234","Tomatoes",2015,25,"25%",,,"Farm",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from WFLO 2010 Reference has been generated automatically"
"288","Ghana",,"01234","Tomatoes",2015,23,"23%",,"Retailing","Retail",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from WFLO 2010 Reference has been generated automatically"
"288","Ghana",,"01234","Tomatoes",2015,20,"20%",,,"Post-harvest",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from Bani et al 2006 Reference has been generated automatically"
"288","Ghana",,"01234","Tomatoes",2014,28.6,"28.6%",,"Farm, Handling, Storage","Farm",,"","","Modelled Estimates","Rino Bolten (2015), the impacts of reducing food loss in ghana",," Reference has been generated automatically"
"288","Ghana",,"01234","Tomatoes",2014,32.1,"32.1%",,"Distribution","Distribution",,"","","Modelled Estimates","Rino Bolten (2015), the impacts of reducing food loss in ghana",," Reference has been generated automatically"
"288","Ghana",,"01234","Tomatoes",2014,5.7,"5.7%",,"Harvesting","Harvest",,"","","Modelled Estimates","Rino Bolten (2015), the impacts of reducing food loss in ghana",," Reference has been generated automatically"
"288","Ghana","Ashanti Region of Ghana","01234","Tomatoes",2011,50,"50",,,"Farm",,"Literacy and technology exposure: 60 -90 % of producers did not pre-cool produce after harvest.  Used vehicles or head loads to convey produce to market. Producers had no storage facilities ; Marketers preferred the use of polythene materials for packaging.","300","Survey","Adarkwa, (2011)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Brong - Ahafo region (highly productive zone)","01234","Tomatoes",2011,35,"20-50",,,"Farm",,"Lack of diversified uses of tomatoes is one main source of postharvest losses.",,"Survey","Yeboah, (2011)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Kumasi and its environments (including Ejura) and Tamale","01234","Tomatoes",2010,25,"25",,"Farm","Farm",,"The physical loss was measured by percentage of product sorted and not sold. Economic losses due to poor quality (a function of the % cumulative rate of defects, decay and damage that occurred during handling) could not be determined because price data reported for crops in Ghana were unreliable; The air temperatures during the handling at the farm, wholesale and retail markets were 29-31C, and 76 % RH at the farm and wholesale markets, and 72% RH at the retail market.","","Case Study","Kitinoja and Cantwell (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",""
"288","Ghana","Kumasi and its environments (including Ejura) and Tamale","01234","Tomatoes",2010,23,"23",,"Retailing","Retail",,"The physical loss was measured by percentage of product sorted and not sold. Economic losses due to poor quality (a function of the % cumulative rate of defects, decay and damage that occurred during handling) could not be determined because price data reported for crops in Ghana were unreliable; The air temperatures during the handling at the farm, wholesale and retail markets were 29-31C, and 76 % RH at the farm and wholesale markets, and 72% RH at the retail market.","","Case Study","Kitinoja and Cantwell (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",""
"288","Ghana","Kumasi and its environments (including Ejura) and Tamale","01234","Tomatoes",2010,21.5,"21.5",,"Wholesale","Wholesale",,"The physical loss was measured by percentage of product sorted and not sold. Economic losses due to poor quality (a function of the % cumulative rate of defects, decay and damage that occurred during handling) could not be determined because price data reported for crops in Ghana were unreliable; The air temperatures during the handling at the farm, wholesale and retail markets were 29-31C, and 76 % RH at the farm and wholesale markets, and 72% RH at the retail market.","","Case Study","Kitinoja and Cantwell (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana","Adopted from Kitinoja and Cantwell (2010)"
"288","Ghana",,"01234","Tomatoes",2010,35.5,"35.5",,,"Wholesale",,"At Wholesale",,"Case Study","Kitinoja","http://www.sciencedirect.com/science/article/pii/S0305750X14002307",
"288","Ghana",,"01234","Tomatoes",2010,22.5,"22.5",,,"Retail",,"At Retail Sold At Discounted Price",,"Case Study","Kitinoja","http://www.sciencedirect.com/science/article/pii/S0305750X14002307",
"288","Ghana",,"01234","Tomatoes",2010,50.5,"50.5",,,"Farm",,,,"Case Study","Kitinoja","http://www.sciencedirect.com/science/article/pii/S0305750X14002307",
"288","Ghana",,"01234","Tomatoes",2010,16.75,"10.5-23",,,"Retail",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01234","Tomatoes",2010,17.75,"14-21.5",,,"Wholesale",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01234","Tomatoes",2009,13.1,"12.9 - 13.3%",,"Sorting","Farm",,"lack of pre-sorting to remove decayed produce before packing promoted spread of fungal and bacterial diseases and insect pests during handling",,"Survey","L. Kitinoja and H.Y. AlHassan (2012)",,
"288","Ghana",,"01234","Tomatoes",2009,33.5,"33.5",,"Grading, Sorting","Farm",,"Mechanical Damage","15, planning project",,"KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01234","Tomatoes",2009,21.5,"21.5",,"Grading, Sorting","Wholesale","Losses due to mechanical damage","Mechanical Damage","10, planning project","Case Study","KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",""
"288","Ghana",,"01234","Tomatoes",2009,14,"14",,"Grading, Sorting","Wholesale",,"Decay","10, planning project",,"KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01234","Tomatoes",2009,25.1,"25.1",,"Grading, Sorting","Farm",,"Physical Losses","10, planning project","Case Study","KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",""
"288","Ghana",,"01234","Tomatoes",2009,21.5,"21.5",,"Grading, Sorting","Wholesale","Physical losses","Physical Losses","10, planning project","Case Study","KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",""
"288","Ghana",,"01234","Tomatoes",2009,10.5,"10.5",,"Grading, Sorting","Retail",,"Mechanical Damage","10, planning project",,"KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01234","Tomatoes",2009,23,"23",,"Grading, Sorting","Retail",,"Physical Losses","10, planning project","Case Study","KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",""
"288","Ghana",,"01234","Tomatoes",2009,11.5,"11.5",,"Grading, Sorting","Retail",,"Decay","10, planning project",,"KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01234","Tomatoes",2009,17,"17",,"Grading, Sorting","Farm",,"Decay","15, planning project",,"KNUST CSIR-CRI & Tamale Poly Tech","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,3.6,"3.3 -3.9",,"Farm, Storage","Storage",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,2.215,"1.58-2.85",,"Farm, Storage","Storage",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,1.745,"1.4 - 2.09",,"Assembling, Farm","Farm",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,4.065,"2.67-5.46",,"Grading, Sorting","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,3.87,"3.45 - 4.29",,"Harvesting","Harvest",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,2.055,".24-3.87",,"Handling","Transport",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,2.25,"1.6 -2.9",,"Distribution, Marketing, Storage","Wholesale",,"","","Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",""
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,4.23,".07-8.39",,"Marketing, Transportation","Transport",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,3.375,"3.11-3.64",,"Marketing, Storage, Transportation","Transport",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna and transition ecological zones of Ghana","01234","Tomatoes",2008,20,"20",,,"Transport",,,"fifteen crates (in wooden crates) out of a total of 50 in a medium sized open-end truck were selected at random for the loss assessment","Case Study","Bani et al. (2006)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01234","Tomatoes",2008,25,"20 - 30%",,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation","Whole supply chain",,,,"No Data Collection Specified","Agriculture and Rural Development Unit Sustainable Development Department Country Department AFCW1 Africa Region",,
"288","Ghana",,"01234","Tomatoes",2006,20,"20",,,"Whole supply chain",,"","","Literature Review","Bani et al, 2006","http://ucanr.edu/datastoreFiles/234-1847.pdf",""
"31","Azerbaijan",,"01234","Tomatoes",2020,5.7,"5.7%","50526",,"Whole supply chain",,"","","National Accounts","User215 (2021), Bəzi hallarda yekunla toplananların cəmi arasındakı fərq rəqəmlərin yuvarlaqlaşdırılması ilə izah olunur .bu nəşrdə əvvəlki dövrlərə dair məlumatlarla əvvəlki nəşrlərdə həmin dövrlərə aid məlumatlar a",,"Loss percentages obtained by dividing indicated losses by total resources and multiplying by 100% Reference has been generated automatically"
"31","Azerbaijan",,"01234","Tomatoes",2019,5.69,"5.69%","45414",,"Whole supply chain",,"","","National Accounts","User215 (2021), Bəzi hallarda yekunla toplananların cəmi arasındakı fərq rəqəmlərin yuvarlaqlaşdırılması ilə izah olunur .bu nəşrdə əvvəlki dövrlərə dair məlumatlarla əvvəlki nəşrlərdə həmin dövrlərə aid məlumatlar a",,"Loss percentages obtained by dividing indicated losses by total resources and multiplying by 100% Reference has been generated automatically"
"31","Azerbaijan",,"01234","Tomatoes",2018,5.69,"5.69%","40437",,"Whole supply chain",,"","","National Accounts","User215 (2021), Bəzi hallarda yekunla toplananların cəmi arasındakı fərq rəqəmlərin yuvarlaqlaşdırılması ilə izah olunur .bu nəşrdə əvvəlki dövrlərə dair məlumatlarla əvvəlki nəşrlərdə həmin dövrlərə aid məlumatlar a",,"Loss percentages obtained by dividing indicated losses by total resources and multiplying by 100% Reference has been generated automatically"
"31","Azerbaijan",,"01234","Tomatoes",2017,5.69,"5.69%","40577",,"Whole supply chain",,"","","National Accounts","User215 (2021), Bəzi hallarda yekunla toplananların cəmi arasındakı fərq rəqəmlərin yuvarlaqlaşdırılması ilə izah olunur .bu nəşrdə əvvəlki dövrlərə dair məlumatlarla əvvəlki nəşrlərdə həmin dövrlərə aid məlumatlar a",,"Loss percentages obtained by dividing indicated losses by total resources and multiplying by 100% Reference has been generated automatically"
"31","Azerbaijan",,"01234","Tomatoes",2016,5.69,"5.69%","34391",,"Whole supply chain",,"","","National Accounts","User215 (2021), Bəzi hallarda yekunla toplananların cəmi arasındakı fərq rəqəmlərin yuvarlaqlaşdırılması ilə izah olunur .bu nəşrdə əvvəlki dövrlərə dair məlumatlarla əvvəlki nəşrlərdə həmin dövrlərə aid məlumatlar a",,"Loss percentages obtained by dividing indicated losses by total resources and multiplying by 100% Reference has been generated automatically"
