"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"31","Azerbaijan",,"01234","Tomatoes",2015,5.7,"5.7%","33851",,"Whole supply chain",,"","","National Accounts","User215 (2021), Bəzi hallarda yekunla toplananların cəmi arasındakı fərq rəqəmlərin yuvarlaqlaşdırılması ilə izah olunur .bu nəşrdə əvvəlki dövrlərə dair məlumatlarla əvvəlki nəşrlərdə həmin dövrlərə aid məlumatlar a",,"Loss percentages obtained by dividing indicated losses by total resources and multiplying by 100% Reference has been generated automatically"
"328","Guyana",,"01234","Tomatoes",2015,5,"5%",,"Retailing","Retail",,,,"Survey","FAO (2015)",,
"328","Guyana",,"01234","Tomatoes",2015,8,"8%",,"Packaging","Processing",,,,"Survey","FAO (2015)",,
"328","Guyana",,"01234","Tomatoes",2015,7,"7%",,"Harvesting","Harvest",,,,"Survey","FAO (2015)",,
"356","India",,"01234","Tomatoes",2016,3.03,"3.03%",,"Storage","Storage",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2016,9.41,"9.41%",,"Collection, Harvesting, Packaging, Sorting, Transportation","Farm",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2016,12.44,"12.44%",,"Collection, Grading, Harvesting, Packaging, Retailing, Storage, Transportation, Wholesale","Whole supply chain",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2016,3.16,"3.16%",,"Harvesting","Harvest",,"","","Literature Review","rajesh (2016), assessment of quantitative harvest and post-harvest losses of major crops/commodities in india",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2015,25,"20% - 30%",,,"Post-harvest",,"","","Literature Review","piyush.joshi (2015), Agriculture biomass in India: Part 2. Post-harvest losses, cost and environmental impacts",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2015,10,"10%",,"Transportation","Transport",,"","","Literature Review","piyush.joshi (2015), Agriculture biomass in India: Part 2. Post-harvest losses, cost and environmental impacts",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2014,0.24,"0.24",,"Packaging","Farm",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,1.75,"1.75",,"Transportation","Farm",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,0.02,"0.02",,"Processing","Storage",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,12.44,"12.44",,,"Whole supply chain",,"Physical Losses",,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,1.63,"1.63",,"Retailing","Storage",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,0.12,"0.12",,"Farm","Storage",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,3.16,"3.16",,"Harvesting","Harvest",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,0.52,"0.52",,"Collection, Farm","Farm",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,3.74,"3.74",,"Grading, Sorting","Farm",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2014,1.26,"1.26",,"Wholesale","Storage",,,"8 agro-climatic zones",,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology","http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf",
"356","India",,"01234","Tomatoes",2013,12.44,"12.44%",,,"Whole supply chain",,"Sourced from Jha et  al. (2015","","Literature Review","Durba Kashyap ;Tripti Agarwal  (2019), Food loss in India: water footprint, land footprint and GHG emissions",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2010,12.45,"8.5-16.4",,,"Retail",,"Decay, Mechanic Damage, Sorting","10","Case Study",,"http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01234","Tomatoes",2010,17.5,"15-20",,,"Farm",,"rough handling, the effects of high ambient temperatures and poor quality  package","","Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",""
"356","India",,"01234","Tomatoes",2010,7.5,"5.0-10",,,"Farm",,"Decay, Mechanic Damage, Sorting","10","Case Study",,"http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01234","Tomatoes",2010,11.05,"7-15.1",,,"Wholesale",,"Decay, Mechanic Damage, Sorting","10","Case Study",,"http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01234","Tomatoes",2010,11.88,"10.3-13.46",,,"Transport",,,,"Case Study",,"http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01234","Tomatoes",2010,9.435,"8.18-10.69",,,"Storage",,,,"Case Study",,"http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01234","Tomatoes",2010,4.195,"3.64-4.75",,,"Harvest",,,,"Case Study",,"http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01234","Tomatoes",2010,4.74,"3.94-5.54",,,"Farm",,,,"Case Study",,"http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01234","Tomatoes",2009,6.42,"6.42%","56.06 quintals","Handling, Transportation","Transport",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","bhabhar","01234","Tomatoes",2009,1.58,"1.58%","26.58 quintals","Grading, Packaging","Farm",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2009,0.14,"0.14%","1.21 quintals","Marketing","Market",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2009,8.03,"8.03%","0.723 quintals","Retailing","Retail",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","Uttarakhand","01234","Tomatoes",2009,17.46,"17.46%","6.70 quintals",,"Whole supply chain",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","bhabhar","01234","Tomatoes",2009,6.41,"6.41%","108.03 quintals","Handling, Transportation","Transport",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","Uttarakhand","01234","Tomatoes",2009,2.13,"2.13%","0.82 quintals","Grading, Packaging","Farm",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2009,7.01,"7.01%","61.14 quintals","Harvesting","Harvest",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","bhabhar","01234","Tomatoes",2009,6.99,"6.99%","117.76 quintals","Harvesting","Harvest",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","Uttarakhand","01234","Tomatoes",2009,0.6,"0.60%","0.23 quintals","Marketing","Market",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","bhabhar","01234","Tomatoes",2009,0.13,"0.13%","2.16 quintals","Marketing","Market",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","Uttarakhand","01234","Tomatoes",2009,6.98,"6.98%","2.68 quintals","Handling, Transportation","Transport",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","bhabhar","01234","Tomatoes",2009,15.11,"15.11%","254.53 quintals",,"Whole supply chain",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India","Uttarakhand","01234","Tomatoes",2009,7.76,"7.76%","2.98 quintals","Harvesting","Harvest",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2009,15.16,"15.16%","132.27 quintals",,"Whole supply chain",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2009,1.59,"1.59%","13.87 quintals","Grading, Packaging","Farm",,"","","Survey","Administrator (2011), economic analysis of post-harvest losses in marketing of vegetables in uttarakhand§",," Reference has been generated automatically"
"356","India",,"01234","Tomatoes",2009,9.395,"8.18 - 10.61%",,"Storage","Storage","emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).",,,"Survey","Lisa Kitinoja (2010)",,
"356","India",,"01234","Tomatoes",2009,11.88,"10.3 - 13.46%",,"Transportation","Transport","emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).",,,"Survey","Lisa Kitinoja (2010)",,
"356","India",,"01234","Tomatoes",2009,8.4,"8.4%","0.84kg","Storage","Storage","Outside the Zero Energy Cool Chamber (ZECC)",,,"Controlled Experiment","Lisa Kitinoja (2010)",,
"356","India",,"01234","Tomatoes",2009,1.8,"1.8%","0.18kg","Storage","Storage","Trials in Zero Energy Cool Chamber (ZECC)",,,"Controlled Experiment","Lisa Kitinoja (2010)",,
"356","India",,"01234","Tomatoes",2009,4.195,"3.64 - 4.75%",,"Harvesting","Harvest","emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).",,,"Survey","Lisa Kitinoja (2010)",,
"356","India",,"01234","Tomatoes",2008,35,"35",,,"Post-harvest",,"","","Literature Review","Gajbhiye et al, 2008","http://ucanr.edu/datastoreFiles/234-1847.pdf","Sourced from Gajbhiye et al, 2008"
"356","India",,"01234","Tomatoes",2006,0.77,"0.77",,"Packaging","Farm",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,4.62,"4.62",,"Farm","Storage",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,2.27,"2.27",,"Retailing","Storage",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,3.14,"3.14",,"Transportation","Farm",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,2.66,"2.66",,"Wholesale","Storage",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,2,"2",,"Processing","Storage",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,1.57,"1.57",,"Storage","Storage",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,1.73,"1.73",,"Harvesting","Harvest",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,3.24,"3.24",,"Grading, Sorting","Farm",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2006,1.06,"1.06",,"Collection","Farm",,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01234","Tomatoes",2005,16.65,"11.9 - 21.4",,,"Farm",,"","","Literature Review","Sharma et al, 2005","http://ucanr.edu/datastoreFiles/234-1847.pdf","Sourced from Sharma et al, 2005"
"356","India",,"01234","Tomatoes",2003,20,"20",,,"Farm",,"","","Literature Review","Ajay et al, 2003&2004","http://ucanr.edu/datastoreFiles/234-1847.pdf","Sourced from Ajay et al, 2003&2004"
"356","India",,"01234","Tomatoes",2002,34.95,"30.3 -39.6",,,"Post-harvest",,"","","Literature Review","Pal et al, 2002","http://ucanr.edu/datastoreFiles/234-1847.pdf","Sourced from Pal et al, 2002"
"36","Australia",,"01234","Tomatoes",2017,28.7,"28.7%",,"Farm","Farm","Supply Chain One","","","Case Study","Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",," Reference has been generated automatically"
"36","Australia",,"01234","Tomatoes",2017,47,"47%",,"Farm","Farm","Supply Chain Two","","","Case Study","Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",," Reference has been generated automatically"
"36","Australia",,"01234","Tomatoes",2017,2.4,"2.4%",,"Retailing","Retail","Supply Chain Two","","","Case Study","Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",," Reference has been generated automatically"
"36","Australia",,"01234","Tomatoes",2017,10.8,"10.8%",,"Packaging","Farm","Supply Chain One","","","Case Study","Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",," Reference has been generated automatically"
"36","Australia",,"01234","Tomatoes",2017,5.4,"5.4%",,"Retailing","Retail","Supply Chain One","","","Case Study","Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",," Reference has been generated automatically"
"364","Iran (Islamic Republic of)",,"01234","Tomatoes",2001,29.75,"28 - 31.5%",,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation","Whole supply chain",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"364","Iran (Islamic Republic of)",,"01234","Tomatoes",2001,29.75,"28-31.5",,,"Post-harvest",,"Improper Harvesting And Transportation Methods, Unsuitable Storage Of Products After Harvest, Poor Sorting, Improper Packaging And Distribution. Losses Also Occur During Retail Sale, Consumption And Processing","","Expert Opinion","Baghkhandan","http://www.apo-tokyo.org/00e-books/AG-18_PostHarvest/AG-18_PostHarvest.pdf",""
"400","Jordan",,"01234","Tomatoes",2015,18,"18%",,,"Post-harvest",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from El-Assi 2002 Reference has been generated automatically"
"400","Jordan",,"01234","Tomatoes",2002,18,"18",,,,,,,"Literature Review","El-Assi 2002","http://ucanr.edu/datastoreFiles/234-1847.pdf; http://ucce.ucdavis.edu/files/datastore/234-1848.pdf",
"404","Kenya",,"01234","Tomatoes",2012,5.5,"1–10%",,"Farm","Farm","No treatment","","","Literature Review","NA (2013), addressing food losses",," Reference has been generated automatically"
"418","Lao People's Democratic Republic",,"01234","Tomatoes",2015,16.9,"16.9%",,,"Post-harvest",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from Weinberger et al 2008 Reference has been generated automatically"
"418","Lao People's Democratic Republic",,"01234","Tomatoes",2008,16.9,"16.9",,,"Whole supply chain",,"","","Modelled Estimates","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf","Sourced from Weinberger et al 2008"
"484","Mexico",,"01234","Tomatoes",2016,7.6,"7.6","194271",,"Wholesale",,,,"Expert Opinion","ESS",,
"484","Mexico",,"01234","Tomatoes",2016,10.3,"10.3","331807",,"Harvest",,,,"Expert Opinion","ESS",,
"484","Mexico",,"01234","Tomatoes",2016,13.9,"13.9","400859",,,,,,"Expert Opinion","ESS",,
"484","Mexico",,"01234","Tomatoes",2013,17.78,"17.78","76345",,"Whole supply chain",,,,"Case Study","Cruzada Nacional Contra el Hambre - Grupo Tecnico de las Perdidas y Mermas de Alimentos: Estudio de Linea Base de 2013",,
"484","Mexico",,"01234","Tomatoes",2013,28.86,"28.86","473989",,"Whole supply chain",,,,"Case Study","Cruzada Nacional Contra el Hambre - Grupo Tecnico de las Perdidas y Mermas de Alimentos: Estudio de Linea Base de 2013",,
"50","Bangladesh",,"01234","Tomatoes",2018,2.6,"2.6%",,"Retailing","Retail","using improved handling and marketing practices","","","Case Study","NA (2018), case studies on managing quality, assuring safety and reducing post-harvest losses in fruit and vegetable supply chains in south asian countries",," Reference has been generated automatically"
"50","Bangladesh",,"01234","Tomatoes",2018,16.7,"16.7%",,"Wholesale","Wholesale","using traditional practices for handling and  marketing","","","Case Study","NA (2018), case studies on managing quality, assuring safety and reducing post-harvest losses in fruit and vegetable supply chains in south asian countries",," Reference has been generated automatically"
"50","Bangladesh",,"01234","Tomatoes",2018,29.3,"29.3%",,"Retailing","Retail","using traditional practices for handling and  marketing","","","Case Study","NA (2018), case studies on managing quality, assuring safety and reducing post-harvest losses in fruit and vegetable supply chains in south asian countries",," Reference has been generated automatically"
"50","Bangladesh",,"01234","Tomatoes",2016,2.6,"2.6",,,"Wholesale",,"tomatoes unmarketable after 5 days (brought from Bogra to Gazipur wholesale market)",,,"FAO/BARI","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2014,15,"10.0-20",,,"Transport",,"10% loss from farm-gate to local market. An additional 20% loss occurs when produce travels from regional/local market to national market",,,"USAID","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2014,35,"30-40",,,"Farm",,,,,"USAID","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2014,10,"10",,,"Trader",,,"90",,"BARI Khatun et al.","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2014,15.37,"15.37",,,"Farm",,,"90",,"BARI Khatun et al.","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,6.9,"6.9",,,"Farm",,"Higher Postharvest Losses Of Tomato In The Conventional Production System May Be Attributed To The Lower Price Due To Higher Supply, Which Restrains The Growers And Other Intermediaries To Adopt Improved Practices","75",,"Mymensingh and Gazipur,","http://www.measurepostharvestlosses.com/sites/default/files/phlassessveg.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,8.9,"8.9",,,"Retail",,"Higher Postharvest Losses Of Tomato In The Conventional Production System May Be Attributed To The Lower Price Due To Higher Supply, Which Restrains The Growers And Other Intermediaries To Adopt Improved Practices","100",,"Mymensingh and Gazipur,","http://www.measurepostharvestlosses.com/sites/default/files/phlassessveg.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,8,"8.0%",,"Wholesale","Wholesale",,,"100","Survey","Md Kamrul Hassan, Bishan Lal Das Chowdhury and Nasrin Akhter",,
"50","Bangladesh",,"01234","Tomatoes",2010,9.1,"9.1",,,"Trader",,"Higher Postharvest Losses Of Tomato In The Conventional Production System May Be Attributed To The Lower Price Due To Higher Supply, Which Restrains The Growers And Other Intermediaries To Adopt Improved Practices","75",,"Mymensingh and Gazipur,","http://www.measurepostharvestlosses.com/sites/default/files/phlassessveg.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,8,"8",,,"Wholesale",,"Higher Postharvest Losses Of Tomato In The Conventional Production System May Be Attributed To The Lower Price Due To Higher Supply, Which Restrains The Growers And Other Intermediaries To Adopt Improved Practices","100",,"Mymensingh and Gazipur,","http://www.measurepostharvestlosses.com/sites/default/files/phlassessveg.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,6.9,"6.9%",,"Farm","Farm",,,"75","Survey","Md Kamrul Hassan, Bishan Lal Das Chowdhury and Nasrin Akhter",,
"50","Bangladesh",,"01234","Tomatoes",2010,9.1,"9.1%",,"Trading","Trader",,,"75","Survey","Md Kamrul Hassan, Bishan Lal Das Chowdhury and Nasrin Akhter",,
"50","Bangladesh",,"01234","Tomatoes",2010,8.9,"8.9%",,"Retailing","Retail",,,"100","Survey","Md Kamrul Hassan, Bishan Lal Das Chowdhury and Nasrin Akhter",,
"50","Bangladesh",,"01234","Tomatoes",2010,32.9,"32.9%",,"Farm, Retailing, Trading, Wholesale","Whole supply chain",,,"350","Survey","Md Kamrul Hassan, Bishan Lal Das Chowdhury and Nasrin Akhter",,
"50","Bangladesh",,"01234","Tomatoes",2010,10.8,"10.8",,,"Wholesale",,"long transport, packaging, handling and storage at wholesaler",,,"BAU MSc thesis; Uddin, M. J.","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,4.5,"4.5",,,"Trader",,,,,"BAU MSc thesis; Uddin, M. J.","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,13,"13",,"Grading, Transportation","Wholesale",,,,,"BAU MSc thesis; Uddin, M. J.","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,8.1,"8.1",,,"Retail",,,,,"BAU MSc thesis; Uddin, M. J.","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,1.35,"1.35",,,"Processing",,"Ketchup production",,,"BAU MSc thesis; Uddin, M. J.","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"50","Bangladesh",,"01234","Tomatoes",2010,13.25,"4.5-22",,,"Farm",,,"75",,"BAU paper ; Akhter, R","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"51","Armenia",,"01234","Tomatoes",2013,3,"3%",,"Farm","Farm",,"","","Survey","ukoeste (2014), food losses and waste in europe and central asia draft synthesis report prepared by ulrich koester, janine empen, thore holm 2013",," Reference has been generated automatically"
"51","Armenia",,"01234","Tomatoes",2013,1,"1%",,"Consumption","Households",,"","","Survey","ukoeste (2014), food losses and waste in europe and central asia draft synthesis report prepared by ulrich koester, janine empen, thore holm 2013",," Reference has been generated automatically"
"51","Armenia",,"01234","Tomatoes",2013,2,"2%",,"Handling, Storage","Farm",,"","","Survey","ukoeste (2014), food losses and waste in europe and central asia draft synthesis report prepared by ulrich koester, janine empen, thore holm 2013",," Reference has been generated automatically"
